price,square,apartment_type,apartment_floor,total_floors,adress,metro_station,distance_to_station
15500000,54,2-к. квартира,3,16,"Ленинский пр-т, 156",Тропарёво,1.1
20282400,"62,6",2-к. квартира,13,25,"Хорошевское ш., стр. 5",Беговая,0.5
9209325,"46,5",2-к. квартира,12,14,"пос. Сосенское, дер. Столбово, стр. 17",Коммунарка,2.0
14308140,"53,8",2-к. апартаменты,8,22,"ул. Дегунинская, вл. 5А",Селигерская,0.8
42753249,"96,9",3-к. квартира,3,20,"ул. Летниковская, стр. 2",Павелецкая,0.7
9800000,"23,6",Квартира-студия,3,30,"ул. Петра Алексеева, вл. 12, корп. 6",Давыдково,1.2
17821643,"80,6",3-к. апартаменты,14,18,"ул. Сельскохозяйственная/Березовая ал., корп. 3",Ботанический сад,1.1
5989000,"35,2",1-к. квартира,1,4,"ул. Маршала Новикова, 15",Щукинская,0.6
14010558,"57,9",2-к. апартаменты,5,21,"ул. Сокольнический Вал, вл. 1Д",Рижская,1.1
28565996,"89,6",3-к. квартира,6,17,"ул. Автозаводская, вл. 23/66",Нагатинская,1.1
23917608,"79,2",3-к. квартира,5,27,"ул. Автозаводская, вл. 23/66",Нагатинская,1.3
14237644,"79,5",3-к. квартира,9,21,"пос. Московский, стр. 1",Филатов луг,2.6
7111159,"23,7",Квартира-студия,2,15,"п. Сосенское, дер. Николо-Хованское, кв-л 26, жилые дома",Прокшино,0.7
13951041,"48,8",2-к. квартира,28,33,"жилой комплекс Сигнальный 16, к1/3",Владыкино,0.9
13900000,"50,9",3-к. квартира,3,9,"ул. Героев Панфиловцев, 16к1",Планерная,0.8
12173174,"68,6",2-к. квартира,1,13,"п. Внуковское, дер. Рассказовка, уч. 13/2",Рассказовка,1.1
24161940,"79,2",3-к. квартира,6,27,"ул. Автозаводская, вл. 23/66",Нагатинская,1.3
15979662,"69,5",3-к. квартира,20,20,"ул. Бартеневская, стр. 1.1",Бунинская аллея,1.0
21340700,"69,8",3-к. квартира,3,12,"ул. Складочная, вл. 6, корп. 8",Савёловская,1.0
11671886,"50,6",2-к. квартира,12,13,"п. Сосенское, дер. Николо-Хованское, кв-л 26, д. 4",Прокшино,0.8
30612368,"99,1",3-к. квартира,10,28,"ул. Автозаводская, вл. 23/66",Нагатинская,1.1
15500000,"60,1",3-к. квартира,6,9,"ул. Лавочкина, 44к2",Беломорская,1.1
17938590,"85,3",3-к. квартира,27,33,"Кавказский б-р, жилые дома",Кантемировская,1.3
18256471,"64,2",3-к. квартира,2,15,"2-й Котляковский пер., вл. 1/1",Варшавская,0.9
19420896,66,2-к. квартира,2,32,"ул. Руставели, вл. 14/3, корп. 1, стр. 1.1",Бутырская,0.2
25435840,"64,6",2-к. квартира,38,55,"ул. 4-я Марьиной Рощи, вл. 12/1",Марьина Роща,0.7
14222223,"35,5",1-к. квартира,5,8,"ул. Автозаводская, вл. 23",ЗИЛ,1.0
9500000,38,2-к. квартира,6,9,"Мариупольская ул., 7",Люблино,1.1
8500000,29,1-к. квартира,4,9,"ул. Рокотова, 8к5",Ясенево,1.1
40000000,"108,5",4-к. квартира,8,8,"пр-т Вернадского, 11/19",Университет,0.5
6950000,33,1-к. квартира,4,5,"рабочий пос. Измайлово, 3",Аннино,3.5
14950000,"52,6",2-к. квартира,6,22,"ул. Красная Сосна, д. 3",Ростокино,1.5
5300000,25,Квартира-студия,2,12,"ул. Авиаконструктора Миля, 14",Жулебино,0.2
14000000,"56,7",3-к. квартира,2,5,"ул. Вучетича, 22",Дмитровская,1.5
13650500,"39,3",2-к. апартаменты,20,22,"1-я Магистральная ул., 25",Хорошёвская,0.7
14400000,"38,3",1-к. квартира,4,17,"ул. Олеко Дундича, 13к1",Филёвский парк,0.5
68933150,"96,4",2-к. апартаменты,14,19,"пр-т Академика Сахарова, 9",Красные ворота,0.5
15000000,56,2-к. квартира,8,12,"Бибиревская ул., 1",Бибирево,0.9
