price_per_square_metr,price,square,distance_to_station,total_floors,district,metro_station,apartment_type
402.44,16.5,41.0,1.0,15,Западный,Давыдково,1-к квартира
254.63,11.0,43.2,1.4,9,Юго-восточный,Печатники,2-к квартира
225.12,9.5,42.2,1.5,17,Восточный,Улица Дмитриевского,1-к квартира
334.82,10.48,31.3,0.6,5,Северо-восточный,ВДНХ,1-к квартира
138.06,8.56,62.0,0.4,12,Северный,Верхние Лихоборы,2-к квартира
297.59,13.6,45.7,0.4,14,Южный,ЗИЛ,1-к квартира
327.03,12.1,37.0,0.5,17,Северный,Беломорская,1-к квартира
307.5,12.3,40.0,1.1,12,Юго-восточный,Кузьминки,2-к квартира
340.43,16.0,47.0,0.5,14,Южный,ЗИЛ,2-к апартаменты
309.42,13.8,44.6,0.5,9,Юго-западный,Беляево,2-к квартира
219.74,16.7,76.0,0.3,14,Юго-восточный,Жулебино,3-к квартира
437.24,25.36,58.0,0.8,14,Южный,Технопарк,1-к квартира
174.85,5.98,34.2,0.6,12,Южный,Пражская,1-к квартира
294.87,11.5,39.0,3.8,12,Северо-восточный,Бабушкинская,1-к квартира
344.83,8.0,23.2,1.3,5,Южный,Кантемировская,1-к квартира
175.77,6.89,39.2,1.2,25,Юго-восточный,Братиславская,1-к квартира
275.28,9.8,35.6,0.8,12,Юго-восточный,Текстильщики,1-к квартира
391.01,17.4,44.5,0.9,16,Южный,ЗИЛ,2-к квартира
262.98,14.99,57.0,0.4,17,Юго-восточный,Стахановская,2-к квартира
422.79,57.5,136.0,0.7,52,Западный,Мичуринский проспект,4-к квартира
284.33,13.25,46.6,0.7,8,Северный,Аэропорт,2-к квартира
700.0,36.4,52.0,0.3,68,Центральный,Международная,Апартаменты-студия
189.75,14.99,79.0,1.1,13,Новомосковский,Рассказовка,3-к квартира
356.44,7.2,20.2,2.9,33,Северный,Селигерская,Квартира-студия
277.72,15.33,55.2,0.5,8,Юго-восточный,Лефортово,2-к квартира
303.89,16.41,54.0,0.3,33,Западный,Аминьевская,2-к квартира
308.29,11.9,38.6,0.6,12,Северо-восточный,Свиблово,1-к квартира
265.25,10.0,37.7,0.8,14,Юго-восточный,Люблино,1-к квартира
376.89,27.89,74.0,1.1,17,Юго-западный,Академическая,3-к квартира
206.8,7.3,35.3,0.8,15,Центральный,Проспект Мира,1-к квартира
357.2,8.43,23.6,1.3,33,Южный,Нагатинская,Квартира-студия
331.62,12.9,38.9,0.3,23,Южный,Лесопарковая,1-к квартира
338.87,10.2,30.1,0.8,5,Юго-западный,Профсоюзная,1-к квартира
213.89,17.86,83.5,0.8,16,Юго-восточный,Новохохловская,3-к квартира
183.5,9.34,50.9,1.0,18,Северо-восточный,Ботанический сад,2-к апартаменты
284.86,23.7,83.2,1.3,22,Северо-западный,Октябрьское поле,3-к квартира
233.76,14.61,62.5,0.8,33,Северо-восточный,Владыкино,2-к квартира
260.0,13.0,50.0,1.5,9,Северный,Селигерская,2-к квартира
293.07,14.8,50.5,0.6,16,Южный,Шипиловская,2-к квартира
411.5,9.3,22.6,0.2,14,Новомосковский,Говорово,Квартира-студия
289.54,9.41,32.5,0.5,33,Восточный,Локомотив,1-к квартира
216.59,18.93,87.4,1.1,12,Новомосковский,Рассказовка,3-к квартира
501.3,30.93,61.7,0.5,57,Западный,Фили,3-к квартира
568.32,5.74,10.1,0.3,4,Центральный,Марксистская,Апартаменты-студия
223.16,10.6,47.5,0.7,16,Новомосковский,Прокшино,2-к квартира
353.42,25.87,73.2,0.7,37,Западный,Мичуринский проспект,3-к квартира
174.96,11.04,63.1,1.1,13,Новомосковский,Рассказовка,2-к квартира
325.66,9.9,30.4,0.9,10,Западный,Кутузовская,1-к квартира
209.94,17.95,85.5,0.5,16,Восточный,Локомотив,3-к квартира
209.98,11.36,54.1,0.7,16,Новомосковский,Прокшино,2-к квартира
291.33,10.08,34.6,0.7,33,Западный,Озёрная,1-к квартира
205.61,13.2,64.2,0.7,15,Новомосковский,Прокшино,3-к квартира
310.17,12.5,40.3,0.3,17,Западный,Аминьевская,1-к квартира
435.99,23.5,53.9,0.7,16,Центральный,Красные ворота,2-к квартира
277.01,10.0,36.1,0.5,33,Восточный,Локомотив,1-к квартира
707.65,72.11,101.9,0.4,75,Центральный,Международная,3-к апартаменты
335.29,15.96,47.6,0.7,12,Западный,Багратионовская,1-к квартира
231.12,15.0,64.9,2.3,16,Северо-восточный,Бабушкинская,3-к квартира
366.97,24.0,65.4,0.8,14,Южный,Технопарк,2-к квартира
261.5,14.67,56.1,1.3,9,Северо-восточный,Ростокино,3-к квартира
238.01,13.4,56.3,0.7,17,Юго-восточный,Лермонтовский проспект,2-к квартира
266.49,10.1,37.9,0.8,17,Северо-восточный,Отрадное,1-к квартира
288.16,10.95,38.0,0.7,17,Северный,Балтийская,1-к квартира
264.9,12.0,45.3,1.1,5,Восточный,Улица Дмитриевского,2-к квартира
211.63,9.1,43.0,0.6,15,Северо-восточный,Фонвизинская,1-к квартира
412.77,38.8,94.0,0.9,31,Западный,Тропарёво,3-к квартира
333.33,7.8,23.4,1.5,25,Северо-западный,Тушинская,Апартаменты-студия
704.7,105.0,149.0,2.0,13,Северо-западный,Щукинская,4-к квартира
281.03,16.3,58.0,1.3,14,Центральный,Воробьёвы горы,2-к квартира
248.89,11.2,45.0,1.3,9,Южный,Шипиловская,2-к квартира
